Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,51.590000,53.040001,50.630001,50.799999,48.751301,7451100
2019-05-02,50.939999,51.270000,49.570000,49.759998,47.753242,5745700
2019-05-03,50.110001,50.939999,49.680000,50.799999,48.751301,3813300
2019-05-06,48.840000,49.869999,48.279999,49.560001,47.561310,4566000
2019-05-07,48.709999,49.480000,46.650002,47.209999,45.306084,6742700
2019-05-08,46.939999,47.950001,46.619999,46.700001,44.816650,4911700
2019-05-09,45.970001,46.580002,44.570000,46.419998,44.547943,6147700
2019-05-10,46.020000,46.130001,44.220001,45.860001,44.010525,4650700
2019-05-13,44.029999,44.180000,42.840000,42.990002,41.256268,7293500
2019-05-14,43.340000,45.110001,43.340000,44.630001,42.830132,5283100
2019-05-15,44.099998,45.950001,43.990002,45.490002,43.655453,4359400
2019-05-16,44.820000,45.400002,44.349998,45.090000,43.271580,3355900
2019-05-17,44.349998,45.810001,43.430000,44.630001,42.830132,4467100
2019-05-20,43.580002,44.160000,41.660000,41.950001,40.258213,9147700
2019-05-21,42.549999,43.720001,42.549999,43.450001,41.697720,4348500
2019-05-22,42.970001,43.110001,41.869999,42.189999,40.488529,3175400
2019-05-23,41.290001,41.599998,40.230000,41.490002,39.816765,4314200
2019-05-24,41.730000,42.110001,40.770000,40.980000,39.327332,3785500
2019-05-28,41.240002,41.570000,39.560001,39.580002,37.983791,4919900
2019-05-29,39.070000,39.950001,38.750000,39.660000,38.060562,5249700
2019-05-30,39.919998,40.910000,39.080002,39.459999,37.868629,3905500
2019-05-31,38.689999,39.669998,37.169998,37.220001,35.718964,7121300
2019-06-03,37.340000,37.970001,36.830002,37.080002,35.584614,5685000
2019-06-04,37.520000,39.180000,37.419998,39.139999,37.561535,5408000
2019-06-05,39.450001,39.990002,37.799999,37.900002,36.371544,5056600
2019-06-06,38.180000,38.470001,37.380001,37.990002,36.457912,4938200
2019-06-07,37.770000,38.180000,36.810001,36.939999,35.450260,5821700
2019-06-10,37.470001,38.730000,37.470001,37.980000,36.448315,4755500
2019-06-11,39.009998,39.090000,38.080002,38.410000,36.860973,4372400
2019-06-12,37.709999,37.860001,35.970001,36.240002,34.778492,7955100
2019-06-13,36.430000,37.360001,36.060001,37.340000,35.834129,7371600
2019-06-14,36.500000,36.770000,35.900002,36.330002,34.864861,5510700
2019-06-17,36.209999,36.660000,35.610001,36.270000,34.807278,4109500
2019-06-18,36.889999,38.880001,36.750000,38.110001,36.573074,7059900
2019-06-19,38.490002,39.389999,38.320000,38.840000,37.273632,5343400
2019-06-20,39.910000,40.820000,39.270000,39.639999,38.041370,5442500
2019-06-21,39.299999,40.299999,38.799999,40.040001,38.425240,9206700
2019-06-24,40.299999,41.730000,40.250000,41.029999,39.375313,7002900
2019-06-25,41.320000,41.939999,40.889999,41.099998,39.442490,5740500
2019-06-26,43.810001,45.360001,43.400002,44.099998,42.321503,13574000
2019-06-27,43.810001,45.099998,43.419998,44.549999,43.243649,7929000
2019-06-28,45.380001,47.599998,45.310001,47.549999,46.155678,14808000
2019-07-01,50.400002,51.060001,48.540001,49.650002,48.194099,10876700
2019-07-02,48.320000,49.150002,47.400002,48.330002,46.912807,7743500
2019-07-03,48.599998,48.689999,47.689999,47.939999,46.534237,4005200
2019-07-05,47.509998,48.599998,47.279999,48.520000,47.097237,4683700
2019-07-08,47.799999,49.910000,47.790001,49.869999,48.407646,6776500
2019-07-09,49.520000,51.540001,49.470001,51.480000,49.970436,10083100
2019-07-10,52.349998,54.180000,52.310001,54.040001,52.455372,9414200
2019-07-11,54.200001,54.470001,52.770000,54.259998,52.668915,7061300
2019-07-12,54.459999,55.680000,53.779999,55.299999,53.678421,6577700
2019-07-15,55.340000,55.580002,54.060001,54.639999,53.037773,5419700
2019-07-16,54.610001,54.610001,50.509998,51.490002,49.980145,11346500
2019-07-17,51.709999,52.480000,51.000000,51.490002,49.980145,6292800
2019-07-18,51.360001,52.919998,51.299999,52.880001,51.329384,5033300
2019-07-19,53.279999,53.279999,51.880001,52.459999,50.921700,4317300
2019-07-22,52.950001,55.410000,52.820000,55.310001,53.688129,7501400
2019-07-23,55.470001,56.040001,54.680000,55.980000,54.338482,4370800
2019-07-24,55.630001,57.619999,55.630001,57.360001,55.678017,5347200
